,1_0.0000004,1_0.0000005,1_0.0000006,1_0.0000007,1_0.0000008,1_0.0000009,1_0.086579606,1_0.17329903,1_0.260105421,1_0.260148905,1_0.488447193,1_0.946376023,1_0.946419507,1_1.016655633,1_1.087313911,1_1.158340591,1_1.158340691,1_1.158340791,1_1.158340891,1_1.158384375,1_1.36772773,1_1.578403999,1_1.578447483,1_1.685595158,1_1.791865309,1_1.791908793,1_1.862513322,1_1.932749448,1_2.002617172,1_2.415513632,1_2.415557116,1_2.621444082,1_2.690032664,1_2.758480529,1_2.826841425,1_2.826884909,1_2.931420544,1_3.036779952,1_3.036823436,1_3.140709233,1_3.243945191,1_3.243988675,1_3.334847496,1_3.425337914,1_3.515319211,1_3.515362695,1_3.515406179,1_4.052898947,1_4.052942431,1_4.052985915,1_4.118312627,1_4.18355237,1_4.248684616,1_4.2487281,1_4.315246986,1_4.382080525,1_4.449282466,1_4.44932595,1_4.449369433,1_4.449412917,1_4.989679284,1_4.989722767,1_5.132221522,1_5.275858708,1_5.275955941,1_5.276053174,1_5.276096658,1_5.344490774,1_5.412623985,1_5.480475763,1_5.480519246,1_5.583266615,1_5.685223428,1_5.685266912,1_5.884596823,1_5.884640307,1_5.884683791,1_6.285094836,1_6.28513832,1_6.285181804,1_6.285225288,1_6.425058243,1_6.566137128,1_6.708635883,1_6.708679367,1_6.70872285,1_6.708766334,1_7.12464343,1_7.540520525,1_7.540564009,1_7.61057245,1_7.680212489,1_7.749484126,1_7.74952761,1_7.818799247,1_7.888439286,1_7.958447727,1_7.958491211,1_8.062973096,1_8.166577458,1_8.166620942,1_8.370827119,1_8.370870603,1_8.473108851,1_8.575521036,1_8.575564519,1_8.782751178,1_8.782794662,1_8.888154071,1_8.992689705,1_8.992733189,1_8.992830422,1_8.993068372,1_9.420379414,1_10.56444688,1_10.56449037,1_10.56453385,1_10.56457734,1_10.86536764,1_10.86541112,1_11.45695531,1_11.45705254,1_11.45714977,1_11.45719326,1_11.45723674,1_11.45728023,1_11.67868624,1_11.67872973,1_11.75421045,1_11.82918206,1_11.90373151,1_11.903775,1_12.1222875,1_12.12233098,1_12.23098549,1_12.33941231,1_12.33945579,1_12.41156715,1_12.48359154,1_12.55552896,1_12.66557011,1_12.776522,1_12.99792802,1_12.99797151,1_13.10934555,1_13.22094729,1_13.22099077,1_13.44290592,1_13.4429494,1_13.6609733,1_13.66101679,1_13.77009345,1_13.87820561,1_13.8782491,1_13.87829258,1_13.87833607,1_13.87837955,1_14.52341357,1_14.52345706,1_14.73725453,1_14.73729801,1_15.38525921,1_15.38530269,1_15.38534618,1_15.38538966,1_15.60151777,1_15.816226,1_15.81626948,1_15.81631297,1_16.02651333,1_16.02655681,1_16.23809008,1_16.23813357,1_16.45289554,1_16.45293903,1_16.66770101,1_16.66774449,1_16.66778797,1_17.1012548,1_17.10129828,1_17.10134177,1_17.20973537,1_17.31742538,1_17.31746887,1_17.53456148,1_17.53460497,1_17.53464845,1_17.53474568,1_18.19547509,1_18.19551857,1_18.19556206,1_18.63476249,1_18.63480598,1_18.63484946,1_18.63489295,1_19.07900317,1_19.07904666,1_19.24923439,1_19.41945534,1_19.53275837,1_19.64674446,1_19.76169504,1_19.76173853,1_19.76178201,1_20.22234362,1_20.2223871,1_20.22243059,1_20.34078377,1_20.46027538,1_20.46031887,1_20.53892075,1_20.61738191,1_20.69570236,1_20.69574584,1_20.7755399,1_20.85482483,1_20.93360065,1_20.93364413,1_20.93368762,1_21.24701673,1_21.87863271,1_21.87867619,1_21.87871968,1_21.87876316,1_22.35465042,1_22.3546939,1_22.35473739,1_22.35478087,1_22.43469511,1_22.51497776,1_22.59562881,1_22.59567229,1_22.67876144,1_22.76241345,1_22.84660781,1_22.84665129,1_22.97073768,1_23.09510551,1_23.09514899,1_23.09519248,1_23.09523596,1_23.51616353,1_23.51620702,1_23.61211598,1_23.70788422,1_23.7079277,1_24.34638317,1_24.34642665,1_24.34647014,1_24.34651362,1_24.59799336,1_24.59803685,1_24.59808033,1_25.62834602,1_25.62838951,1_25.62843299,1_25.71271431,1_25.79713635,1_25.88169911,1_26.13709065,1_26.13713414,1_26.26525244,1_26.39438899,1_26.39443247,1_26.4826255,1_26.57022245,1_26.65725653,1_26.65730001,1_27.13048803,1_27.59383584,1_27.59387933,1_27.59392281,1_27.79495404,1_27.99374161,1_28.19031873,1_28.19036221,1_28.26992858,1_28.34995032,1_28.43048118,1_28.43052467,1_28.54901857,1_28.66717728,1_28.66722077,1_28.74562818,1_28.82366719,1_28.9013378,1_28.90138129,DTA_S15 Data
W22 x TIL01 BC1S4# Line_C047,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,74
W22 x TIL01 BC1S4# Line_C048,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,75
W22 x TIL01 BC1S4# Line_C049,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
W22 x TIL01 BC1S4# Line_C050,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,74
W22 x TIL01 BC1S4# Line_C051,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,79
W22 x TIL01 BC1S4# Line_C052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,77
W22 x TIL01 BC1S4# Line_C053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,77
W22 x TIL01 BC1S4# Line_C054,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,82
W22 x TIL01 BC1S4# Line_C055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,86
W22 x TIL01 BC1S4# Line_C056,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,77
